nic_code,nic_section
01,Agriculture
02,Agriculture
03,Agriculture
05,Manufacturing
06,Manufacturing
07,Manufacturing
08,Manufacturing
09,Manufacturing
10,Manufacturing
11,Manufacturing
12,Manufacturing
13,Manufacturing
14,Manufacturing
15,Manufacturing
16,Manufacturing
17,Manufacturing
18,Manufacturing
19,Manufacturing
20,Manufacturing
21,Manufacturing
22,Manufacturing
23,Manufacturing
24,Manufacturing
25,Manufacturing
26,Manufacturing
27,Manufacturing
28,Manufacturing
29,Manufacturing
30,Manufacturing
31,Manufacturing
32,Manufacturing
33,Manufacturing
35,Manufacturing
36,Manufacturing
37,Manufacturing
38,Manufacturing
39,Manufacturing
41,Manufacturing
42,Manufacturing
43,Manufacturing
45,Services
46,Services
47,Services
49,Services
50,Services
51,Services
52,Services
53,Services
55,Services
56,Services
58,Services
59,Services
60,Services
61,Services
62,Services
63,Services
64,Services
65,Services
66,Services
68,Services
69,Services
70,Services
71,Services
72,Services
73,Services
74,Services
75,Services
77,Services
78,Services
79,Services
80,Services
81,Services
82,Services
84,Services
85,Services
86,Services
87,Services
88,Services
90,Services
91,Services
92,Services
93,Services
94,Services
95,Services
96,Services
97,Services
98,Services
99,Services
