Tick,Total_Output,Total_Profit,Total_Capital,Total_Labor,Total_Debt,Total_Tax_Revenue,Price_Level,Bankruptcies,Gini_Coefficient,Agri_Output,Mfg_Output,Svc_Output,Agri_Profit,Mfg_Profit,Svc_Profit,Agri_Price_Multiplier,Mfg_Price_Multiplier,Svc_Price_Multiplier,State_Punjab,State_Maharashtra,State_Delhi,State_Tamil Nadu,State_Rajasthan,State_Telangana,State_Karnataka,State_Odisha,State_Uttar Pradesh,State_Haryana,State_Andhra Pradesh,State_Gujarat,State_Madhya Pradesh,State_West Bengal,State_Arunachal Pradesh,State_Bihar,State_Chandigarh,State_Assam,State_Jharkhand,State_Kerala,State_Chattisgarh,State_Jammu & Kashmir,State_Himachal Pradesh,State_Goa,State_Manipur,State_Uttarakhand,State_Puducherry,State_Tripura,State_Dadra & Nagar Haveli,State_Nagaland,State_Meghalaya,State_Mizoram,State_Andaman & Nicobar,State_Daman and Diu
0,422886.93382300605,100237.49528029394,149525.64983703397,1910962.0,77676.6803012318,97297.8938439723,1.04,31,0.698319538032039,94123.42354778635,86051.26961034728,242712.2406648724,39271.392380706915,3751.8450325147123,57214.257867072316,1.0,1.0,1.0,4145.412822652067,107314.45363169422,79937.8271035632,25815.442593139283,7681.585487809358,21129.42575141307,25909.881802640204,3527.8518622668084,20118.564061828267,13818.057954535603,4484.723194292234,62048.537495599805,7898.821609464638,17205.031402000077,134.72479162294667,4587.073064598618,599.9520850912041,2457.32690991959,2089.8768119301294,3141.6333113165374,3877.7625535246502,750.0985244645555,1178.4335626499656,357.17765690313325,59.951713986004386,873.364012540114,377.5152091312184,324.96123504272987,523.4755965524391,8.026455522854262,466.9559752224549,0.20726312605487915,5.734748154687392,37.06556880745885
1,573607.6324350745,150623.2672382193,233081.45024018807,1999613.0,71658.78886148673,134322.28966923332,1.0816000000000001,32,0.7127253285340133,147191.10839672745,96097.96011011685,330318.5639282302,63788.05913057427,4654.767720571519,82180.44038707353,0.6394640584816673,0.895453654913619,0.7347823197657385,5582.791515112096,145714.13565816006,108332.39288311069,34852.92344150037,10334.166628048433,28673.933753023888,35119.994533790916,4807.338123234392,27353.348562988504,18879.089067199548,6106.500462408529,83915.40933306474,10879.628843605284,23364.6861422117,181.81304093831054,6266.764835900082,823.9041218618239,3305.7696498105693,2813.0736520117794,4253.969017688192,5331.34202511947,972.1439146826359,1605.1906923045037,496.4270163849356,74.4159665989521,1186.11489324142,519.4438532475195,474.1160186734457,699.0941597482707,10.806153775216435,628.544594718679,0.28593729002036417,6.978828827092959,41.095114792252915
2,751555.5314304803,259014.76794046658,371239.36156482814,2092560.0,61550.664596692826,194374.96950467862,1.124864,32,0.722553848564561,209563.70871510255,108086.61223734029,433905.2104780375,102415.17862463571,16931.479207178367,139668.1101086525,0.4491399017744297,0.7961325443468702,0.5593669649587153,7273.312866629486,191159.66305866998,141850.7573273579,45517.73571602777,13450.601390408856,37599.199533988096,45995.606279660555,6312.745756644547,35870.14043439546,24845.330282749568,8014.209912859493,109770.71765232664,14390.70393726035,30598.03138745731,236.96721624118348,8238.741922670997,1085.959418059402,4307.029720867962,3663.408619416017,5554.079124650677,7045.788183075654,1231.6731213255555,2108.691375881466,658.4189848730645,91.07526669269586,1552.7502625441455,686.7280976950916,649.6356530686132,907.1346978978013,14.043198078585938,820.0749889277911,0.3759528286189629,8.376438529617102,45.82365071929059
3,996176.0668486349,395721.9229163616,574198.2164795769,2190063.0,48260.34484459025,273962.53194667166,1.1698585600000002,32,0.7275371941168183,286588.2132682096,134902.063332836,574685.7902475892,149891.06418706686,31913.574986235944,213917.2837430588,0.32842740625797817,0.6378795659932791,0.42233903253516286,9607.181325145006,253646.459972901,187984.11723749677,60247.82978108511,17767.07318399716,49814.84115371515,60939.15164904811,8363.483190719293,47529.36381389999,32986.175762913495,10627.476249563339,145569.4333544156,19138.66853973944,40457.597778902425,313.30588871580784,10913.977399722242,1436.680244487076,5695.088912704472,4838.062714220806,7321.797598858557,9371.784948155064,1609.3647322895702,2796.4544223807125,873.395626608642,116.67000672501005,2052.211168124321,912.0252505946484,876.634472260606,1198.1188818855871,18.389319905108334,1085.390285686447,0.49471300469269314,10.569943109620606,56.79732565380741
4,1307475.1958112794,579839.936219576,860149.9131758667,2292376.0,34116.73545777211,379464.05777265696,1.2166529024000003,32,0.729013697116984,378165.0477940873,177713.87919254316,751596.2688246488,209642.1232288253,55825.78495648607,314372.0280342647,0.2488950898472167,0.48421243181077317,0.3229290122001635,12581.713289578076,333255.8895763366,246721.0497631709,79050.02986058168,23281.568185589706,65291.34271332594,79942.04832622937,10957.482510619888,62326.11117115741,43296.4955655387,13946.052196679462,191377.29129952443,25113.782926792566,52911.1290738962,409.8087188981377,14280.612952306243,1874.394332227791,7468.110692985597,6335.726587366982,9545.502884145752,12304.526886841173,2106.248452323545,3665.808054008856,1140.8784578132593,151.16760360280864,2682.0968004482356,1194.8101556114912,1155.5010651394973,1571.3518781516686,23.757270684681536,1424.1362860498173,0.6377256775726045,13.564718969984455,74.56782900560417
5,1697363.0488643455,813444.570901248,1245876.1493316158,2399744.0,21923.11710371158,513472.7726310812,1.2653190184960004,32,0.7284401600795423,486159.74203782284,242229.05010396492,968974.2567225578,281333.3547110656,91780.90776642215,440330.30842376035,0.19360595995310453,0.35524752119291225,0.2504836831123029,16309.078322512589,433162.64149737306,320267.2966343884,102662.7978154412,30217.86465932537,84556.6665208419,103716.66398855763,14188.557862744614,80801.3106970964,56156.01464227465,18106.386180263802,249077.19789948055,32518.15094289647,68382.89783696725,529.6109552357455,18450.66740432922,2411.9579428838083,9691.658737798489,8213.303053897513,12293.790460790342,15948.740482216766,2751.820520331296,4745.938252449986,1469.538907173871,196.96131976460813,3462.833556919024,1541.4035992779238,1493.0516660441315,2040.2122945280917,30.225947202828003,1847.957550651138,0.8054206107080024,17.58352193449809,101.46177014105149
6,2175704.5991598167,1099749.4243350215,1747307.6558981542,2512445.0,12489.198268697406,678638.8813298236,1.3159317792358405,32,0.7268406591978498,612085.2920304061,334407.3507396925,1229211.9563897182,364910.7085091416,143582.23567310142,591256.4801527787,0.1537750126874649,0.25732469522576623,0.1974535306162619,20871.174821174347,556050.3445228543,410422.9091764647,131714.26872917515,38769.179335508335,108017.85951822123,132854.2870203202,18133.815474085568,103400.94822077084,71875.61171947252,23224.84235597148,320277.0246825118,41516.32348860207,87200.68068182725,674.6820906545494,23503.636752642637,3057.1260267727585,12418.918918951684,10515.683330519212,15622.5598168317,20385.759031442354,3567.6541261272646,6058.604309875015,1866.6737031573396,255.88100802592766,4411.773306702833,1957.25139108694,1896.5501154085994,2613.994660976198,37.80811175976755,2366.835962986304,0.99640232345842,22.839951829798235,140.1003947821883
7,2752825.705297664,1441259.6891747897,2379176.2585446876,2630750.0,5662.046752068703,877444.3392523746,1.368569050405274,32,0.7248639875431582,757570.646867744,460835.06536585983,1534419.99306406,460333.7528745484,214897.4255439303,766028.5107563111,0.12424375724818484,0.1867289971565654,0.1581784920438921,26360.86025721272,704781.3908507841,519059.4575591676,166840.7363028139,49129.469463211884,136081.51503709462,167968.52287524263,22869.926305868797,130593.88565460373,90787.41742420034,29424.483001616303,406672.4064700137,52271.89865201449,109705.87607848526,847.5450983510534,29523.39597837961,3819.3693347745098,15703.768240813488,13291.880775590036,19587.34279628976,25703.287081021303,4579.0227520145145,7626.294823429764,2340.2093635575648,329.8351298635336,5543.435793113662,2445.749712963855,2373.5267030317227,3302.247270652809,46.50467621371317,2990.3425231814244,1.2089410424194453,29.561298854115094,193.3310721949547
8,3439747.868280987,1841634.5026290424,3155521.042543577,2754916.0,1974.2362919053223,1112861.2792161324,1.4233118124214852,32,0.7228898979786512,924396.189365034,628555.4032230403,1886796.2756929125,567957.4353588913,309396.32492685545,964280.7423432957,0.1018215183388408,0.13690323743794522,0.12863722691827875,32879.8192667756,882380.9138487311,648203.4729710304,208728.68931767062,61515.97977437516,169182.9771945379,209705.67867359647,28488.102899332727,162872.0419654043,113237.43092226848,36840.53340336181,510078.1429930546,64962.04077968414,136260.05704526792,1049.8569598165236,36601.01313175595,4707.659611631602,19603.448817132685,16587.866354157733,24245.23861728771,31990.645125694205,5813.072253552636,9472.312244155482,2898.5844939722374,420.85022082572135,6876.289348419179,3012.2898096067115,2931.0816656654943,4114.681878988732,56.30525962012517,3727.4294277861904,1.441651475838727,37.98437442520667,263.9359799251421
9,4248854.261553385,2305966.7051619054,4090218.1308511775,2885313.0,440.5906081202131,1388542.7388270188,1.4802442849183446,32,0.7211213586789265,1114666.1279990978,845174.2129242665,2289013.9206300215,688610.6943127201,430929.7896458651,1186426.2212033202,0.08444091121414478,0.10181483094782742,0.10603353630897491,40535.44930516436,1092261.3773296073,800089.3710273764,258157.58036657138,76165.48087932235,207819.72783394202,258809.78899090455,35079.54122817866,200813.95310279718,139613.26908617187,45622.1368865578,632517.6684183576,79788.50755401155,167275.73744511686,1284.2345225945062,44835.55066405014,5733.964315928744,24179.854834108206,20462.20397325925,29658.880204182067,39348.44882450792,7299.203365401256,11624.179177897577,3551.0526389428837,531.0569042374917,8429.70358863788,3661.96717533394,3578.0629357386147,5062.943010512986,68.06384755844536,4589.887989014399,1.6935034798560045,48.35911326098814,355.3615106634803
